loan_id,member_id,home_ownership, annual_inc ,loan_status, loan_amnt ,term,int_rate,cibil_score,inq_last_6mths,age,emp_length,marital,job
391981,428498,RENT," $50,000 ",Fully Paid," $19,000 ", 36 months,16.82%,669,2,24,11,married,freelance
392017,428603,MORTGAGE," $110,000 ",Fully Paid," $12,000 ", 36 months,7.88%,764,2,34,19,married,fixed
395243,416307,RENT," $32,500 ",Fully Paid," $8,250 ", 36 months,7.51%,739,1,22,10,married,others
395561,435194,MORTGAGE," $119,450 ",Fully Paid," $24,000 ", 36 months,20.86%,669,0,25,3,married,fixed
399980,442475,RENT," $45,000 ",Fully Paid," $9,600 ", 36 months,12.18%,754,5,23,1,married,freelance
401434,445530,RENT," $32,000 ",Charged Off," $10,000 ", 36 months,13.11%,689,0,24,1,married,fixed
403162,448364,RENT," $38,000 ",Fully Paid," $7,000 ", 36 months,7.51%,749,0,35,0,married,fixed
403312,448613,MORTGAGE," $61,766 ",Fully Paid," $5,500 ", 36 months,7.14%,749,0,23,7,married,fixed
403609,448295,MORTGAGE," $78,000 ",Fully Paid," $1,750 ", 36 months,10.36%,684,0,25,1,single,fixed
405239,452745,RENT," $85,000 ",Fully Paid," $15,000 ", 36 months,13.11%,699,0,26,2,married,fixed
407769,456577,MORTGAGE," $200,000 ",Fully Paid," $15,000 ", 36 months,9.88%,764,1,30,5,married,fixed
409691,460579,OWN," $30,000 ",Fully Paid," $3,000 ", 36 months,11.14%,754,1,23,0,married,fixed
410825,462539,MORTGAGE," $120,000 ",Fully Paid," $25,000 ", 36 months,14.96%,704,0,28,26,married,freelance
411477,463830,MORTGAGE," $75,000 ",Fully Paid," $14,400 ", 36 months,13.92%,684,3,22,20,married,fixed
413357,466685,MORTGAGE," $77,248 ",Fully Paid," $21,600 ", 36 months,13.85%,699,0,23,1,married,fixed
417906,487490,RENT," $62,000 ",Fully Paid," $12,000 ", 36 months,10.99%,709,0,36,4,married,freelance
418953,491286,MORTGAGE," $54,080 ",Fully Paid," $13,750 ", 36 months,11.14%,739,0,28,3,married,others
420124,493209,RENT," $41,600 ",Fully Paid," $11,200 ", 36 months,10.62%,724,0,31,8,married,fixed
420666,494117,RENT," $62,201 ",Fully Paid," $9,000 ", 36 months,12.53%,699,3,29,16,single,fixed
421199,494967,MORTGAGE," $55,000 ",Fully Paid," $14,000 ", 36 months,13.22%,699,3,21,3,married,fixed
422571,497080,RENT," $54,996 ",Charged Off," $2,500 ", 36 months,14.59%,664,1,23,17,single,fixed
423260,498266,MORTGAGE," $425,000 ",Fully Paid," $10,000 ", 36 months,7.88%,759,1,24,7,married,fixed
424330,499999,RENT," $45,000 ",Fully Paid," $6,000 ", 36 months,12.61%,684,2,40,2,widow,fixed
427109,504536,MORTGAGE," $48,500 ",Fully Paid," $6,000 ", 36 months,7.88%,724,2,25,1,married,freelance
427755,500726,OWN," $35,000 ",Fully Paid," $13,200 ", 36 months,13.48%,689,0,31,5,married,partime
428226,506487,RENT," $24,000 ",Fully Paid," $5,000 ", 36 months,10.62%,709,0,31,22,single,fixed
431052,511452,MORTGAGE," $45,760 ",Fully Paid," $9,600 ", 36 months,7.51%,754,0,29,4,single,fixed
431072,511482,MORTGAGE," $65,700 ",Fully Paid," $24,000 ", 60 months,13.23%,724,0,23,9,married,fixed
432108,513386,RENT," $43,000 ",Fully Paid," $11,400 ", 36 months,8.94%,754,1,29,9,single,fixed
434246,517933,OWN," $40,000 ",Charged Off," $6,400 ", 36 months,14.22%,689,1,25,7,married,freelance
435959,521057,RENT," $58,000 ",Charged Off," $7,000 ", 36 months,13.85%,674,1,34,14,married,freelance
437558,525497,RENT," $40,000 ",Fully Paid," $6,000 ", 36 months,12.73%,684,0,25,8,married,fixed
437568,525568,MORTGAGE," $50,000 ",Charged Off," $2,000 ", 36 months,19.13%,679,1,26,1,married,fixed
438631,528711,MORTGAGE," $100,000 ",Fully Paid," $24,000 ", 36 months,10.25%,784,0,29,4,married,freelance
439829,531872,RENT," $64,200 ",Fully Paid," $4,000 ", 36 months,9.25%,719,0,23,2,married,freelance
441472,534991,MORTGAGE," $54,000 ",Fully Paid," $10,800 ", 36 months,7.88%,739,0,35,8,separated,fixed
441547,533035,RENT," $42,000 ",Charged Off," $7,000 ", 36 months,13.98%,679,0,27,1,single,fixed
441621,535873,MORTGAGE," $65,000 ",Fully Paid," $18,000 ", 36 months,7.51%,784,2,26,14,single,fixed
442923,424285,MORTGAGE," $165,000 ",Fully Paid," $10,000 ", 36 months,14.61%,734,2,25,1,married,freelance
444955,345445,RENT," $46,800 ",Fully Paid," $14,000 ", 36 months,16.00%,689,0,27,9,married,fixed
445544,544249,MORTGAGE," $122,000 ",Fully Paid," $6,000 ", 36 months,7.51%,749,1,22,6,married,fixed
449448,552090,RENT," $47,000 ",Fully Paid," $13,000 ", 36 months,10.99%,744,0,24,3,single,partime
449679,552505,MORTGAGE," $58,000 ",Fully Paid," $10,400 ", 36 months,12.18%,714,1,43,0,married,fixed
450302,382982,MORTGAGE," $40,250 ",Fully Paid," $5,600 ", 36 months,11.86%,694,2,23,3,married,freelance
450832,554927,RENT," $63,000 ",Fully Paid," $18,000 ", 36 months,10.99%,719,1,23,0,married,partime
452088,557651,MORTGAGE," $102,000 ",Fully Paid," $20,000 ", 36 months,11.36%,719,1,28,29,divorced,fixed
452160,557833,MORTGAGE," $100,843 ",Fully Paid," $2,800 ", 36 months,12.87%,779,0,35,7,separated,fixed
452732,559090,RENT," $71,820 ",Fully Paid," $18,000 ", 36 months,11.83%,724,1,25,3,married,fixed
452910,559449,RENT," $40,000 ",Current," $12,000 ", 60 months,11.12%,739,0,24,4,married,fixed
453021,559657,MORTGAGE," $94,800 ",Fully Paid," $7,400 ", 36 months,7.88%,759,0,27,4,married,fixed
454324,562508,MORTGAGE," $98,000 ",Fully Paid," $25,000 ", 36 months,11.83%,769,3,25,5,married,others
454698,563330,MORTGAGE," $45,600 ",Fully Paid," $1,600 ", 36 months,7.88%,719,0,60,2,separated,fixed
454838,563636,MORTGAGE," $58,000 ",Fully Paid," $12,000 ", 36 months,7.51%,754,3,24,3,divorced,fixed
455641,565159,MORTGAGE," $52,000 ",Fully Paid," $10,000 ", 36 months,7.88%,764,0,22,2,married,fixed
455659,565217,OWN," $102,000 ",Fully Paid," $7,000 ", 36 months,12.87%,689,3,28,2,married,fixed
456465,566890,MORTGAGE," $45,000 ",Fully Paid," $13,000 ", 36 months,10.62%,724,1,22,5,married,partime
456671,567315,MORTGAGE," $63,000 ",Fully Paid," $7,000 ", 36 months,13.92%,749,3,24,5,married,freelance
458148,570003,RENT," $55,000 ",Fully Paid," $6,000 ", 36 months,7.51%,739,2,32,4,married,fixed
458328,570309,MORTGAGE," $30,000 ",Charged Off," $5,000 ", 36 months,11.48%,749,0,25,2,married,freelance
458419,570553,RENT," $47,831 ",Fully Paid," $16,000 ", 36 months,13.85%,689,0,35,8,married,fixed
458440,570593,RENT," $80,000 ",Fully Paid," $16,800 ", 36 months,15.65%,674,2,30,9,single,fixed
458871,571550,RENT," $40,310 ",Charged Off," $12,000 ", 36 months,14.96%,679,0,36,1,married,fixed
459312,572441,RENT," $85,000 ",Fully Paid," $12,500 ", 36 months,6.00%,679,3,32,12,married,fixed
459716,573222,MORTGAGE," $52,000 ",Fully Paid," $6,500 ", 36 months,6.76%,779,0,23,3,single,partime
459958,573721,MORTGAGE," $92,400 ",Fully Paid," $14,500 ", 36 months,7.88%,764,3,27,19,married,fixed
460222,574203,RENT," $45,000 ",Fully Paid," $8,000 ", 36 months,12.18%,749,2,31,9,married,fixed
460256,574277,RENT," $100,000 ",Fully Paid," $25,000 ", 36 months,14.96%,704,0,25,15,widow,freelance
460277,574361,MORTGAGE," $150,000 ",Charged Off," $24,000 ", 36 months,16.35%,719,1,25,6,married,freelance
461227,576272,RENT," $21,600 ",Fully Paid," $10,000 ", 36 months,12.53%,729,2,25,16,married,fixed
461675,577125,MORTGAGE," $72,000 ",Fully Paid," $6,600 ", 36 months,7.88%,734,0,22,1,married,fixed
461680,577136,RENT," $30,000 ",Late (31-120 days)," $3,600 ", 60 months,7.88%,764,1,22,3,single,freelance
461780,577360,MORTGAGE," $124,000 ",Fully Paid," $12,000 ", 36 months,14.59%,674,0,26,NA,married,freelance
461884,577546,RENT," $44,000 ",Fully Paid," $9,000 ", 36 months,8.94%,749,1,32,3,divorced,fixed
462074,577868,RENT," $32,400 ",Fully Paid," $12,000 ", 36 months,14.26%,694,3,44,9,married,fixed
462079,365862,MORTGAGE," $100,000 ",Fully Paid," $16,800 ", 36 months,7.88%,799,3,32,13,married,freelance
462259,578163,RENT," $60,225 ",Charged Off," $15,000 ", 36 months,16.70%,744,1,28,3,married,fixed
462279,578198,RENT," $43,000 ",Fully Paid," $24,000 ", 36 months,13.85%,724,0,24,11,married,fixed
462538,578675,RENT," $50,000 ",Fully Paid," $20,000 ", 36 months,13.22%,714,3,27,9,married,fixed
463199,579814,MORTGAGE," $95,000 ",Fully Paid," $25,000 ", 36 months,18.78%,669,1,22,11,married,fixed
463417,580205,RENT," $45,760 ",Fully Paid," $13,650 ", 36 months,10.25%,729,0,24,8,married,fixed
463418,580207,MORTGAGE," $72,000 ",Fully Paid," $16,000 ", 36 months,10.25%,754,1,24,1,single,fixed
463442,580257,RENT," $47,052 ",Fully Paid," $21,250 ", 36 months,10.99%,724,1,29,16,married,fixed
463797,580858,MORTGAGE," $93,000 ",Fully Paid," $18,000 ", 36 months,12.18%,724,1,26,9,married,freelance
463832,580931,RENT," $98,000 ",Fully Paid," $20,000 ", 36 months,11.83%,739,2,23,3,married,fixed
464514,582262,RENT," $120,000 ",Fully Paid," $6,000 ", 36 months,9.88%,714,3,37,12,married,fixed
464535,582301,MORTGAGE," $210,000 ",Fully Paid," $16,000 ", 36 months,10.62%,749,0,32,7,married,fixed
464707,582610,RENT," $82,000 ",Fully Paid," $18,000 ", 36 months,13.22%,704,1,29,8,married,fixed
464715,582625,MORTGAGE," $68,000 ",Fully Paid," $14,800 ", 36 months,9.88%,744,1,25,19,single,partime
465172,583481,MORTGAGE," $45,600 ",Charged Off," $2,500 ", 36 months,20.86%,664,3,24,1,married,fixed
465295,516737,RENT," $120,000 ",Fully Paid," $14,400 ", 60 months,17.93%,664,0,34,5,married,fixed
465492,581052,RENT," $60,000 ",Fully Paid," $7,200 ", 36 months,12.87%,689,0,22,9,married,fixed
465659,584427,RENT," $51,000 ",Fully Paid," $17,000 ", 36 months,14.96%,719,0,40,0,married,fixed
465730,584558,MORTGAGE," $130,000 ",Fully Paid," $10,000 ", 36 months,11.36%,704,0,38,5,married,fixed
465736,584565,MORTGAGE," $73,000 ",Fully Paid," $16,000 ", 36 months,7.88%,774,0,24,5,single,fixed
466150,585404,OWN," $102,000 ",Fully Paid," $24,250 ", 36 months,11.83%,769,0,27,3,married,freelance
466377,585751,RENT," $65,000 ",Fully Paid," $12,000 ", 36 months,8.94%,754,3,30,9,single,others
466454,585907,MORTGAGE," $71,499 ",Current," $15,000 ", 60 months,11.12%,764,1,29,6,married,fixed
466800,586646,RENT," $84,000 ",Fully Paid," $13,000 ", 36 months,11.83%,719,1,27,6,single,partime
467043,587107,MORTGAGE," $45,000 ",Fully Paid," $14,000 ", 36 months,13.48%,694,1,29,8,single,fixed
467716,588523,RENT," $21,996 ",Fully Paid," $9,250 ", 36 months,12.87%,689,0,36,13,married,partime
468072,589329,MORTGAGE," $67,846 ",Fully Paid," $10,400 ", 36 months,19.47%,664,2,23,2,married,fixed
468396,589871,MORTGAGE," $80,000 ",Fully Paid," $6,000 ", 36 months,7.40%,774,1,28,5,married,fixed
468564,590227,MORTGAGE," $86,000 ",Fully Paid," $16,000 ", 36 months,14.26%,689,1,23,4,married,fixed
468599,590309,OWN," $79,000 ",Fully Paid," $14,500 ", 36 months,11.48%,754,5,31,8,married,fixed
468616,590346,RENT," $46,500 ",Fully Paid," $2,500 ", 36 months,13.92%,674,1,28,28,married,fixed
468754,590630,OWN," $56,784 ",Fully Paid," $12,000 ", 36 months,14.96%,674,0,34,5,married,freelance
468960,591065,RENT," $17,040 ",Fully Paid," $2,500 ", 36 months,7.51%,729,1,26,15,married,partime
468987,591118,MORTGAGE," $110,000 ",Fully Paid," $25,000 ", 36 months,16.00%,679,3,35,23,married,fixed
468988,591120,RENT," $45,000 ",Fully Paid," $3,000 ", 36 months,14.61%,664,1,37,5,married,freelance
469034,591214,RENT," $110,000 ",Fully Paid," $12,000 ", 36 months,12.18%,719,0,34,10,married,fixed
469107,591354,RENT," $30,000 ",Charged Off," $8,000 ", 36 months,20.52%,679,2,22,4,married,fixed
469382,591919,MORTGAGE," $45,000 ",Fully Paid," $12,000 ", 36 months,8.94%,759,0,30,21,married,freelance
469681,592571,MORTGAGE," $78,000 ",Fully Paid," $14,500 ", 36 months,7.51%,794,0,23,4,married,freelance
469683,592579,RENT," $18,000 ",Charged Off," $1,500 ", 36 months,11.48%,739,1,27,4,married,others
469684,592582,RENT," $36,000 ",Fully Paid," $7,000 ", 36 months,16.35%,674,0,26,3,single,fixed
469700,592647,RENT," $38,000 ",Fully Paid," $8,000 ", 36 months,12.53%,699,0,51,7,married,fixed
469708,592662,MORTGAGE," $68,900 ",Fully Paid," $19,500 ", 36 months,11.83%,739,2,25,5,single,fixed
469717,592682,RENT," $65,000 ",Late (31-120 days)," $15,000 ", 36 months,15.65%,679,0,21,2,married,fixed
469718,592683,RENT," $35,000 ",Fully Paid," $11,000 ", 36 months,8.59%,749,1,22,2,married,freelance
469721,525400,MORTGAGE," $35,328 ",Fully Paid," $13,000 ", 36 months,8.59%,779,0,34,0,married,fixed
469728,592699,RENT," $35,000 ",Fully Paid," $6,600 ", 36 months,8.59%,739,2,23,1,married,fixed
469743,592722,RENT," $120,000 ",Fully Paid," $4,800 ", 36 months,7.40%,794,3,26,0,single,fixed
469752,592731,RENT," $40,000 ",Fully Paid," $14,000 ", 36 months,19.82%,679,0,26,3,married,fixed
469759,592734,MORTGAGE," $19,404 ",Fully Paid," $6,000 ", 36 months,11.14%,734,3,32,5,married,fixed
469762,592745,MORTGAGE," $87,000 ",Fully Paid," $24,800 ", 36 months,12.53%,754,0,25,11,single,fixed
469773,592380,MORTGAGE," $110,000 ",Fully Paid," $10,000 ", 36 months,8.59%,789,0,35,8,married,fixed
469777,592769,MORTGAGE," $135,000 ",Fully Paid," $16,000 ", 36 months,14.61%,749,0,23,6,single,freelance
469796,592795,RENT," $30,000 ",Fully Paid," $1,500 ", 36 months,14.61%,679,1,25,4,single,fixed
469798,592798,RENT," $57,000 ",Fully Paid," $10,000 ", 36 months,11.48%,714,0,33,7,married,others
469807,592809,MORTGAGE," $68,000 ",Fully Paid," $5,000 ", 36 months,12.18%,714,3,21,2,married,fixed
469833,592842,OWN," $72,000 ",Fully Paid," $10,000 ", 36 months,8.94%,784,0,23,17,married,fixed
469850,592875,MORTGAGE," $60,000 ",Fully Paid," $24,250 ", 36 months,15.31%,684,2,26,2,single,fixed
469851,592876,MORTGAGE," $90,000 ",Fully Paid," $8,000 ", 36 months,12.53%,694,2,21,8,married,freelance
469860,592889,RENT," $19,200 ",Fully Paid," $1,000 ", 36 months,12.53%,694,1,25,0,married,fixed
469866,592900,MORTGAGE," $60,000 ",Fully Paid," $6,000 ", 36 months,8.94%,759,0,28,13,married,fixed
469880,592920,OWN," $40,800 ",Charged Off," $3,500 ", 36 months,8.59%,789,0,25,16,separated,partime
469932,593048,RENT," $35,000 ",Fully Paid," $9,000 ", 36 months,8.94%,754,1,28,6,married,others
469936,593058,OWN," $31,000 ",Fully Paid," $1,000 ", 36 months,7.40%,814,0,24,NA,married,fixed
469937,593060,OWN," $22,080 ",Fully Paid," $8,000 ", 36 months,8.59%,759,0,25,6,married,fixed
469943,593067,RENT," $50,000 ",Fully Paid," $13,000 ", 36 months,11.14%,744,1,24,5,single,partime
469950,593075,MORTGAGE," $25,200 ",Charged Off," $6,500 ", 36 months,14.26%,674,3,28,5,single,fixed
469953,593083,RENT," $70,000 ",Fully Paid," $11,200 ", 36 months,8.94%,764,0,21,18,married,fixed
469964,593105,MORTGAGE," $100,000 ",Fully Paid," $15,000 ", 36 months,16.00%,669,0,22,0,married,others
469988,593144,OWN," $109,000 ",Fully Paid," $16,000 ", 36 months,7.05%,729,2,29,9,single,fixed
469996,593160,RENT," $36,000 ",Charged Off," $13,000 ", 36 months,13.57%,694,0,28,5,married,fixed
470001,593172,RENT," $36,400 ",Fully Paid," $2,300 ", 36 months,7.40%,764,2,27,0,single,partime
470007,593182,MORTGAGE," $26,000 ",Fully Paid," $5,000 ", 36 months,8.94%,739,0,25,7,married,partime
470012,593194,MORTGAGE," $100,000 ",Fully Paid," $25,000 ", 36 months,11.48%,779,2,24,15,married,fixed
470015,593201,OWN," $200,000 ",Fully Paid," $24,000 ", 36 months,12.18%,759,1,31,3,married,fixed
470022,593205,OWN," $189,996 ",Fully Paid," $24,000 ", 36 months,11.83%,794,1,24,34,divorced,fixed
470024,593213,OWN," $200,000 ",Fully Paid," $24,000 ", 36 months,14.96%,709,0,25,2,married,others
470026,593216,OWN," $150,000 ",Fully Paid," $24,000 ", 36 months,11.83%,814,0,23,12,married,freelance
470027,593218,RENT," $40,500 ",Fully Paid," $18,250 ", 36 months,17.04%,664,1,23,5,single,freelance
470031,593228,MORTGAGE," $54,566 ",Fully Paid," $4,000 ", 36 months,12.53%,709,0,23,7,married,fixed
470039,593241,OWN," $16,400 ",Fully Paid," $5,000 ", 36 months,8.94%,729,2,22,0,married,partime
470041,593245,OWN," $43,800 ",Charged Off," $4,800 ", 36 months,7.05%,774,4,27,4,married,fixed
470060,593277,OWN," $157,500 ",Fully Paid," $25,000 ", 36 months,12.87%,719,1,27,4,married,fixed
470102,593356,RENT," $46,809 ",Fully Paid," $5,000 ", 36 months,12.18%,774,0,38,30,married,fixed
470104,593359,RENT," $24,000 ",Fully Paid," $2,500 ", 36 months,7.74%,759,1,29,2,married,fixed
470108,593365,MORTGAGE," $50,000 ",Fully Paid," $9,000 ", 36 months,7.74%,809,0,24,4,single,partime
470125,593390,MORTGAGE," $113,000 ",Fully Paid," $25,000 ", 36 months,12.53%,729,2,24,4,married,freelance
470131,593397,RENT," $34,200 ",Fully Paid," $7,500 ", 36 months,8.94%,794,0,23,12,single,fixed
470134,593400,MORTGAGE," $47,412 ",Fully Paid," $6,500 ", 36 months,8.59%,784,0,25,0,married,fixed
470136,593402,RENT," $55,000 ",Fully Paid," $9,000 ", 36 months,12.87%,689,0,24,21,married,fixed
470142,593414,MORTGAGE," $79,500 ",Fully Paid," $9,600 ", 36 months,14.61%,669,0,26,4,single,freelance
470163,593449,RENT," $34,000 ",Fully Paid," $9,000 ", 36 months,11.48%,724,0,32,5,married,others
470185,593495,MORTGAGE," $107,203 ",Fully Paid," $6,000 ", 36 months,7.40%,774,0,28,NA,married,freelance
470186,593497,MORTGAGE," $72,000 ",Fully Paid," $16,000 ", 36 months,7.40%,704,1,25,15,single,fixed
470187,593504,MORTGAGE," $35,360 ",Fully Paid," $12,250 ", 36 months,15.31%,669,0,34,0,single,fixed
470190,593507,RENT," $20,400 ",Fully Paid," $5,800 ", 36 months,8.94%,749,1,26,3,married,fixed
470194,593512,OWN," $80,000 ",Fully Paid," $24,000 ", 36 months,12.87%,724,1,24,12,married,fixed
470195,593515,MORTGAGE," $160,000 ",Fully Paid," $25,000 ", 36 months,10.99%,744,2,58,5,married,freelance
470224,593587,RENT," $62,000 ",Fully Paid," $21,600 ", 36 months,21.21%,669,1,24,2,married,fixed
470232,593598,RENT," $60,000 ",Fully Paid," $20,000 ", 36 months,11.14%,774,2,29,39,married,freelance
470243,593609,MORTGAGE," $93,000 ",Fully Paid," $22,500 ", 36 months,11.83%,759,0,24,2,married,fixed
470260,593636,RENT," $144,000 ",Fully Paid," $24,250 ", 36 months,11.83%,759,1,30,17,married,fixed
470264,593644,RENT," $78,000 ",Fully Paid," $24,000 ", 36 months,13.92%,709,1,32,2,separated,freelance
470284,593683,MORTGAGE," $30,000 ",Fully Paid," $8,800 ", 60 months,13.11%,744,0,29,2,married,freelance
470293,593697,RENT," $28,000 ",Fully Paid," $8,400 ", 36 months,11.48%,734,1,21,3,married,fixed
470305,593718,OWN," $75,000 ",Fully Paid," $20,400 ", 36 months,7.74%,709,3,26,1,single,fixed
470362,593813,OWN," $150,000 ",Fully Paid," $21,000 ", 36 months,8.94%,759,1,28,20,married,fixed
470418,593735,MORTGAGE," $130,000 ",Fully Paid," $25,000 ", 36 months,11.83%,754,1,33,7,married,fixed
470428,593751,RENT," $43,000 ",Fully Paid," $6,000 ", 36 months,11.14%,714,1,24,7,single,fixed
470433,593762,RENT," $41,000 ",Fully Paid," $15,000 ", 36 months,11.48%,739,3,32,0,married,fixed
470455,593900,MORTGAGE," $60,000 ",Fully Paid," $3,000 ", 36 months,19.13%,704,0,32,8,married,partime
470462,593913,OWN," $160,000 ",Fully Paid," $23,000 ", 36 months,11.83%,794,1,25,3,single,freelance
470560,594181,OWN," $55,000 ",Fully Paid," $9,000 ", 36 months,12.87%,689,1,30,4,married,fixed
470561,594186,RENT," $280,000 ",Fully Paid," $5,000 ", 36 months,14.26%,709,1,29,0,separated,freelance
470562,594013,OWN," $180,000 ",Fully Paid," $20,000 ", 36 months,14.26%,709,0,28,2,married,fixed
470612,594113,OWN," $150,000 ",Fully Paid," $24,000 ", 36 months,11.83%,814,0,23,2,married,freelance
470697,594248,RENT," $40,000 ",Fully Paid," $16,000 ", 36 months,11.48%,739,1,30,7,married,fixed
470703,594257,RENT," $52,728 ",Fully Paid," $5,000 ", 36 months,7.74%,759,0,24,17,single,fixed
470742,594375,OWN," $52,000 ",Fully Paid," $5,000 ", 36 months,7.40%,779,1,33,0,married,fixed
470762,594313,OWN," $200,000 ",Fully Paid," $23,000 ", 36 months,12.18%,759,1,25,7,single,fixed
470812,594413,OWN," $180,000 ",Fully Paid," $21,000 ", 36 months,11.48%,794,1,23,4,married,freelance
470867,594410,RENT," $21,000 ",Fully Paid," $4,750 ", 36 months,15.65%,669,0,22,6,married,partime
470869,594464,RENT," $150,000 ",Fully Paid," $8,750 ", 36 months,7.74%,784,0,25,8,married,freelance
470900,594613,OWN," $12,816 ",Fully Paid," $3,000 ", 36 months,12.87%,684,0,22,NA,married,fixed
470907,594623,RENT," $52,000 ",Fully Paid," $13,000 ", 36 months,15.31%,669,0,23,6,married,freelance
470912,594513,OWN," $160,000 ",Fully Paid," $24,000 ", 36 months,14.96%,709,0,45,4,married,partime
470962,594563,OWN," $150,000 ",Fully Paid," $20,000 ", 36 months,11.48%,814,0,35,25,married,fixed
471013,594630,RENT," $34,000 ",Fully Paid," $7,500 ", 36 months,8.94%,759,2,21,2,single,fixed
471030,594658,MORTGAGE," $64,500 ",Fully Paid," $24,000 ", 36 months,11.83%,749,2,24,10,married,fixed
471032,594659,MORTGAGE," $40,000 ",Fully Paid," $12,000 ", 36 months,8.59%,799,1,42,0,married,fixed
471052,594690,RENT," $160,000 ",Charged Off," $20,000 ", 36 months,12.53%,719,2,26,16,single,fixed
471062,594703,RENT," $23,000 ",Fully Paid," $5,000 ", 36 months,12.18%,704,1,22,5,married,fixed
471113,594714,MORTGAGE," $150,000 ",Charged Off," $10,000 ", 36 months,8.59%,759,1,38,15,married,fixed
471129,594764,RENT," $71,500 ",Fully Paid," $10,000 ", 36 months,13.57%,689,0,21,4,married,fixed
471162,594821,RENT," $94,050 ",Fully Paid," $20,000 ", 36 months,14.26%,689,0,24,9,married,fixed
471174,594840,OWN," $48,000 ",Fully Paid," $7,500 ", 36 months,7.05%,714,0,33,10,widow,freelance
471184,594856,RENT," $33,600 ",Fully Paid," $14,000 ", 36 months,12.87%,769,4,26,4,single,fixed
471186,594858,MORTGAGE," $50,000 ",Fully Paid," $2,500 ", 36 months,12.18%,694,1,27,1,married,fixed
471207,594943,MORTGAGE," $100,000 ",Fully Paid," $15,000 ", 36 months,11.14%,769,2,30,3,married,freelance
